Ⅰ型超敏反应性疾病,休克
Ⅰ型免疫母细胞性淋巴腺病,阴茎和阴囊水肿
Ⅲ型超敏反应性疾病,休克
Ⅳ型肾小管性酸中毒,高血压
c胰岛功能性β细胞瘤,肥胖
Friedreich共济失调症,营养不良
Goodpasture综合征,高血压
H7n7,休克
Pick病和额颞痴呆,日常生活能力减退和行为异常
Pick病和额颞痴呆,认知功能障碍
Reiter综合征,阴茎表浅性溃疡
Stargardt病,抑郁症
Stargardt病,失眠
X联锁鱼鳞病,隐睾
阿尔茨海默病,抑郁症
阿米巴肠病,脓液为巧克力色或查到阿米巴原虫
阿米巴结肠炎,脓液为巧克力色或查到阿米巴原虫
阿米巴性阴道炎,休克
阿片类药物中毒,休克
阿片中毒,休克
阿司匹林诱发哮喘,休克
阿斯伯格综合症,抑郁症
阿斯伯格综合症,依赖公式化
阿斯伯格综合症,行为动作幼稚愚蠢
阿斯伯格综合症,情感淡漠
阿斯匹林不耐受三联症,休克
癌症伴发的精神障碍,抑郁症
癌症伴发的精神障碍,情绪性癌症
安卡性肾炎,高血压
巴德-吉亚利综合征,休克
包茎,阴茎疼痛
包皮龟头炎,龟头出血
包皮龟头炎,龟头异味
包皮龟头炎,龟头红斑
包皮龟头炎,龟头潮红
包皮龟头炎,龟头疼
包皮龟头炎,龟头发黑
包皮龟头炎,包皮过长
包皮龟头炎,包皮上有小红点
包皮龟头炎,龟头红肿
包皮龟头炎,包皮上有水泡
包皮龟头炎,包皮内有白色分泌物
包皮龟头炎,包皮发白
包皮龟头炎,包皮上有小白点
包皮龟头炎,包皮疼痛
包皮过长,龟头异味
包皮过长,龟头红斑
包皮过长,龟头发黑
包皮过长,包皮内有白色分泌物
包皮过长,包皮开裂
包皮过长,龟头珍珠疹
包皮过长,包皮红肿
包皮过长,包皮上有小白点
包皮过长,包皮疼痛
包皮炎,包皮痒
包皮炎,包皮过长
包皮炎,包皮上有小红点
包皮炎,包皮内有白色分泌物
包皮炎,包皮发白
包皮炎,包皮开裂
包皮炎,包皮红肿
包皮炎,包皮上有小白点
包皮炎,包皮疼痛
包皮炎,勃起时间短
包皮炎,阴茎龟头橡皮肿
包皮阴茎头炎,阴茎勃起不硬
包皮阴茎头炎,包皮过长
包皮阴茎头炎,包皮发白
包皮阴茎头炎,阴茎萎缩
包皮阴茎头炎,阴茎瘙痒
薄肾小球基底膜病,高血压
暴痢,脱水
鼻出血,挖鼻孔
鼻骨骨折,休克
吡唑酮类中毒,高血压
闭经性头痛,高血压
扁桃体结石,言语凌乱
变形杆菌食物中毒,休克
变形杆菌食物中毒,脱水
宾斯旺格病,高血压
病毒性出血热,休克
病态窦房结综合征,休克
