喘息,无
咳嗽,无
皮肤瘙痒,无
肚子疼,无
全身过敏反应,无
下腹胀痛,无
输尿管梗阻,无
尿痛,无
腰部包块,无
淋巴结肿大,无
下腹部包块,无
下腹部钝痛和酸胀感,无
乏力,无
咳血,无
体重减轻,无
蚊虫刺咬炎症,无
关节肿痛,无
斑丘疹,无
水肿,无
皮肤搔痒,无
肾气虚,无
肝火,无
痰火郁结,无
脾胃虚弱,无
异位性心动过速,无
心动过速,无
剧痛,无
烧伤创面淡黄色粘稠分泌物,无
烧伤创面甜腥气味的粘稠分泌物,无
烧伤后恶心与呕吐,无
烧伤后脉搏增速,无
多尿,无
脓尿,无
肾小管重吸收障碍,无
多饮,无
尿糖,无
日轻夜重的瘙痒,无
瘙痒,无
大腿内侧红斑,无
腹股沟痒,无
拇、食、中三指有放射痛,无
腕部疼痛,无
手腕在大拇指侧的疼痛,无
肌肉萎缩,无
食指和中指僵硬痛麻,无
胀痛,无
呕恶纳呆,无
嗳气,无
便下恶臭,无
舌苔厚腻,无
手部功能完全丧失,无
血管伤,无
关节痛,无
脓性分泌物,无
充血,无
白细胞增多,无
脓肿,无
吞咽困难,无
收缩期杂音,无
抽搐,无
腹部血管杂音,无
蛋白尿,无
头晕,无
创伤,无
尿外渗,无
腹部不适,无
高热,无
疼痛,无
儿茶酚胺分泌过量,无
心脏扩大,无
皮肤苍白,无
功能性震颤,无
恶心,无
死精子过多,无
耳鸣,无
精子稀少,无
精液稀,无
驼背,无
代偿性腰椎前凸,无
轻瘫,无
溃疡,无
结痂,无
乳房肿块,无
普秃,无
毛发色淡而呈棕色,无
病理性脱发,无
毛发脱落,无
毛发异常,无
腰大肌阴影消失,无
发烧,无
体型异常,无
口角生疮,无
点状痤疮,无
丘疹性痤疮,无
萎缩性痤疮,无
腰骶部或下腰部疼痛,无
慢性肾功能不全,无
孤立肾,无
血压高,无
视力障碍,无
筋膜疼痛,无
肌肉酸痛,无
浅筋膜炎,无
关节挛缩,无
低烧,无
上肢外展上举困难,无
青枝骨折,无
瘀血,无
胁部肿胀,无
压痛,无
看东西有重影,无
视物模糊,无
眼疲劳,无
头痛,无
头昏,无
肝转移,无
烦躁不安,无
腹部肿块,无
气血失和,无
肝脾肿大,无
斑疹,无
关节疼痛,无
浮脉,无
虚脉,无
脾气虚,无
胎儿水肿,无
纸样胎儿,无
双胎静脉吻合,无
智力减低,无
记忆力障碍,无
定向力障碍,无
智力发育迟缓,无
轻度精神发育迟滞,无
黏液性水肿,无
食管对称性膨大,无
恶性贫血,无
烂嘴角,无
唇干裂,无
毛细血管扩张,无
痛性红舌,无
血小板减少,无
皮肤潮红肿胀,无
被害妄想,无
疲劳,无
忧郁,无
痴笑,无
闪回,无
嗜睡,无
四肢发冷,无
心动过缓,无
尿急,无
视野缺损,无
视网膜脱离,无
眼前异常闪光，增加的黑点,无
视物变小,无
眼痛,无
结节,无
食欲不振,无
丘疹,无
脾虚,无
气血凝滞,无
反胃,无
胸骨后疼痛,无
紧张,无
声调似小孩,无
糖类皮质激素分泌过少,无
抑郁,无
无胡须,无
尿频,无
肾盏变钝,无
肢体运动不协调,无
肢体忽冷忽热，时红时白,无
肢体变细变短,无
舞蹈样不自主运动,无
四肢瘫痪,无
消化不良,无
皮疹,无
恶心与呕吐,无
小脑性共济失调,无
人格改变,无
复视,无
紫癜,无
鳞屑,无
脓包,无
伤口愈合发痒,无
烧伤创面焦痂提前潮解、脱落或出现虫咬样变化,无
鼻泪管阻塞,无
骨质破坏,无
鼻衄,无
牙疼,无
流泪,无
手麻,无
残株型骨折,无
压缩型骨折,无
头皮屑多,无
步态不稳,无
感觉障碍,无
骨痹,无
麻痹,无
水湿不化,无
食管出血,无
食管反流症状,无
食管梗阻,无
吞咽痛,无
腹胀嗳腐,无
乳食不化,无
营养障碍,无
生长缓慢,无
肌腱断裂,无
指间关节不能屈曲,无
肌腱端炎,无
肌腱粘连,无
肌肉砸伤,无
皮下囊肿,无
脑脊液鼻漏,无
囊肿,无
鼻塞,无
紧张性头晕,无
间歇性头晕,无
目赤,无
肠鸣,无
腹胀,无
嗳腐,无
手臂肌肉拉伤,无
拇食指捏物功能障碍,无
手腕长骨刺,无
肌肉拉伤,无
咽痛,无
咽部有异物感,无
镜面舌,无
呼吸困难,无
发音障碍,无
口唇常无力而不能鼓气,无
舌肌萎缩,无
上尿路结构和功能损害,无
逼尿肌反射亢进,无
排尿不畅,无
无尿,无
呕吐苦水,无
电脑失写症,无
手部震颤,无
肌张力过高,无
气喘,无
腹痛伴腹泻,无
肝肿大,无
胃肠道出血,无
紫绀,无
寒战,无
尿崩,无
低氧血症,无
松果体区占位病变,无
动眼神经麻痹,无
对光反射迟钝,无
共济失调,无
松果体钙化移位,无
胃脘饱胀,无
粘膜有粘着性白斑,无
持续性发热,无
干咳,无
怕冷,无
情绪性疲劳,无
神志不清,无
神志淡漠,无
气管受压,无
气管移位,无
便血,无
消瘦,无
眶周青紫,无
舌运动受限,无
环咽部运动障碍,无
舌骨区有肿胀压痛,无
舌痛,无
水泡,无
水痘结痂,无
疱疹,无
四肢畸形,无
面容憔悴早老,无
呼吸异常,无
呼吸衰竭,无
女性不孕,无
输卵管堵塞,无
阴道分泌物增多,无
继发性不孕,无
囊肿性痤疮,无
疥疮结节,无
痤疮样皮疹,无
声音嘶哑,无
咽痛声哑,无
注意力不集中,无
颅内压增高,无
肾上腺转移,无
向心性肥胖,无
皮质醇增多,无
颌突畸形,无
下颌前突,无
牙齿异常,无
张嘴颌骨响,无
手表皮深处的水疱,无
红晕,无
脓疱,无
手上有小水泡,无
肌肉痉挛性疼痛,无
肢体僵硬感,无
肢体不自主震颤,无
震颤性肌强直，运动徐缓,无
肌肉颤动,无
食物误入气道,无
震水音,无
胸痛,无
踝部凹陷性水肿,无
胫前和足部坚硬的非凹陷性水肿斑块,无
胫前指压性水肿,无
肢体的非凹性水肿,无
输尿管痉挛,无
癌性输尿管狭窄,无
肾盂积水,无
角膜混浊,无
少尿,无
肾部积水现象,无
腹水,无
阴道出血,无
卵巢性闭经,无
子宫性闭经,无
浑身酸痛,无
周身不适,无
大便溏泄,无
舌苔黄,无
手、足部厚壁水疱,无
进食困难,无
神疲乏力,无
皮肤皲裂,无
发炎,无
右上腹痛,无
耳下区的韧实肿块,无
腮腺区肿大,无
腮腺无痛性肿块,无
流涎,无
下肢红斑结节,无
脓苔,无
颈静脉怒张,无
剧烈疼痛,无
脉压增宽,无
水冲脉,无
左心室肥厚,无
上腹部疼痛,无
腰部钝痛,无
血尿伴蛋白尿,无
苔黄腻,无
四肢无力,无
皮肤发黄,无
烦热,无
四肢酸痛无力,无
隐痛,无
腹部压痛,无
腹肌紧张,无
内出血,无
十二指肠狭窄,无
意识改变状态,无
反复抽搐,无
昏迷,无
皮下结节,无
进行性颈部肿块,无
恶病质,无
脱皮,无
食管腔梗阻,无
输卵管粘连,无
下腹痛,无
感觉过敏,无
四肢麻木,无
男性小腹坠痛,无
新生儿蛋白尿,无
局限性肾坏死,无
头目晕沉,无
胸闷,无
腹肌强直,无
瘀斑,无
玫瑰疹,无
指节增粗,无
小腹冷痛,无
孕中期腹痛,无
咽部异物感,无
咽颊部烧伤,无
梗噎,无
吞咽障碍,无
输尿管间脊肥大,无
输尿管囊肿,无
尿酸代谢亢进,无
昏睡,无
血压下降,无
甲状旁腺功能亢进,无
继发感染,无
压力和体位性多汗,无
出汗异常,无
面、颈部味觉性多汗,无
遗精,无
射精疼,无
器质性早泄,无
精液少,无
肾前性肾功能不全,无
发绀,无
弯腰时腰痛,无
肾区压痛,无
肾区叩击痛,无
钙沉积,无
夜盲,无
中心暗点扩大,无
病理性近视,无
口及咽部烧灼感,无
上腹不适,无
食管间隙形成肿块,无
淋巴结结核,无
复杂性尿路感染,无
